Gene ID,Gene Name,Cluster 1 Mean UMI Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean UMI Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSG00000008130,NADK,0.071519402420376313,-1.4483345127834846,2.2014900761921994e-07,0.19545770428378981,1.4483345127834846,2.2014900761921994e-07
ENSG00000078369,GNB1,0.1451874564156137,-1.2734514977886393,1.4566185997937596e-06,0.35121306238493483,1.2734514977886393,1.4566185997937596e-06
ENSG00000231050,RP1-140A9.1,0.0012278008999206233,1.3296583496427772,0.55447391373931798,0.0,-1.3296583496427772,0.55447391373931798
ENSG00000169885,CALML6,0.00030695022498015582,0.007730254755413668,1.0,0.0,-0.007730254755413668,1.0
ENSG00000178821,TMEM52,0.00092085067494046752,0.007730254755413668,1.0,0.00061080532588684319,-0.007730254755413668,1.0
ENSG00000142609,CFAP74,0.0024556017998412466,0.1776552561977276,1.0,0.0018324159776605294,-0.1776552561977276,1.0
ENSG00000233542,RP11-547D24.1,0.00030695022498015582,0.007730254755413668,1.0,0.0,-0.007730254755413668,1.0
ENSG00000067606,PRKCZ,0.03253672384789652,2.5792722397142489,1.0248206008515954e-06,0.0048864426070947455,-2.5792722397142489,1.0248206008515954e-06
ENSG00000271806,RP5-892K4.1,0.01626836192394826,1.7626177569188828,0.010770743787081498,0.0042756372812079021,-1.7626177569188828,0.010770743787081498
ENSG00000182873,RP11-181G12.2,0.00030695022498015582,0.007730254755413668,1.0,0.0,-0.007730254755413668,1.0
ENSG00000162585,FAAP20,0.31462398060465974,-0.45297910290871224,0.15164473122596572,0.4306177547502244,0.45297910290871224,0.15164473122596572
ENSG00000157933,SKI,0.039596579022440105,0.052818144283952151,1.0,0.037869930204984276,-0.052818144283952151,1.0
ENSG00000116151,MORN1,0.0061390044996031167,0.40004767753417436,0.79229791300849983,0.0042756372812079021,-0.40004767753417436,0.79229791300849983
ENSG00000157916,RER1,0.24525322975914451,-0.33140713016417145,0.35297212013020501,0.30845668957285577,0.33140713016417145,0.35297212013020501
ENSG00000157911,PEX10,0.031615873172956048,-0.12472004126823499,0.91403737699493082,0.034205098249663217,0.12472004126823499,0.91403737699493082
ENSG00000149527,PLCH2,0.011357158324265766,1.9337296733116363,0.013033373334410374,0.0024432213035473728,-1.9337296733116363,0.013033373334410374
ENSG00000157881,PANK4,0.023635167323471998,0.33893616323078746,0.66986323058122166,0.018324159776605294,-0.33893616323078746,0.66986323058122166
ENSG00000272449,RP3-395M20.12,0.10190747469341174,-0.047519605810048215,1.0,0.10505851605253702,0.047519605810048215,1.0
ENSG00000238164,RP3-395M20.8,0.019337864173749816,0.68580215986805193,0.31660492176662475,0.01160530119185002,-0.68580215986805193,0.31660492176662475
ENSG00000157873,TNFRSF14,0.37785572695057185,0.44796830815940059,0.21351444584977702,0.27669481262673995,-0.44796830815940059,0.21351444584977719
ENSG00000228037,RP3-395M20.9,0.013812760124107013,3.5312922108124276,2.1250877111138177e-05,0.00061080532588684319,-3.5312922108124276,2.1250877111138177e-05
ENSG00000157870,FAM213B,0.033150624297856833,1.2523526234753275,0.0083851248817250739,0.01343771716951055,-1.2523526234753275,0.0083851248817250739
ENSG00000142606,MMEL1,0.0036834026997618701,0.70816997289650718,0.66986323058122166,0.0018324159776605294,-0.70816997289650718,0.66986323058122166
ENSG00000215912,TTC34,0.0085946062994443628,2.2807487491618303,0.010412415255659167,0.0012216106517736864,-2.2807487491618303,0.010412415255659167
ENSG00000142611,PRDM16,0.00061390044996031165,0.59269275547657152,1.0,0.0,-0.59269275547657152,1.0
ENSG00000162591,MEGF6,0.013812760124107013,1.723937288754823,0.015323636474303763,0.0036648319553210587,-1.723937288754823,0.015323636474303763
ENSG00000238260,RP11-46F15.2,0.0021486515748610907,2.0077302547554137,0.26757935007480738,0.0,-2.0077302547554137,0.26757935007480738
ENSG00000158109,TPRG1L,0.04634948397200353,0.39767677307142701,0.47016452748417115,0.034815903575550061,-0.39767677307142701,0.47016452748417115
ENSG00000116213,WRAP73,0.055557990721408206,0.26759738151052481,0.6341411755115125,0.045810399441513237,-0.26759738151052481,0.6341411755115125
ENSG00000078900,TP73,0.0,-2.5772322459657424,0.26812418386153464,0.0012216106517736864,2.5772322459657424,0.26812418386153464
ENSG00000227372,TP73-AS1,0.02424906777343231,0.57477084747930807,0.31845145900754163,0.01588093847305792,-0.57477084747930807,0.31845145900754179
ENSG00000235169,SMIM1,0.013505809899126857,1.4995833510850884,0.031789099768528631,0.0042756372812079021,-1.4995833510850884,0.031789099768527319
ENSG00000130764,LRRC47,0.089322515469225344,0.42937048885850482,0.32631426631885962,0.065966975195779057,-0.42937048885850482,0.32631426631885962
ENSG00000116198,CEP104,0.064766497470812881,0.50683201882273243,0.2577120959030168,0.045199594115626393,-0.50683201882273243,0.2577120959030168
ENSG00000169598,DFFB,0.015040561024027637,0.65158644453013803,0.38605646460747578,0.0091620798883026468,-0.65158644453013803,0.38605646460747578
ENSG00000198912,C1orf174,0.069063800620535062,0.059724892393675511,1.0,0.065966975195779057,-0.059724892393675511,1.0
ENSG00000236423,LINC01134,0.00030695022498015582,-0.99226974524458633,0.77857516027009777,0.00061080532588684319,0.99226974524458633,0.77857516027009777
ENSG00000196581,AJAP1,0.0024556017998412466,0.59269275547657152,0.77777781912361754,0.0012216106517736864,-0.59269275547657152,0.77777781912361721
ENSG00000131697,NPHP4,0.0027625520248214025,-0.99226974524458544,0.39613634503938172,0.0054972479329815881,0.99226974524458544,0.39613634503938205
ENSG00000069424,KCNAB2,0.16145581833956196,-0.18423027036707307,0.68406640265433682,0.18324159776605295,0.18423027036707307,0.68406640265433649
ENSG00000116254,CHD5,0.0012278008999206233,-0.25530415107837889,1.0,0.0012216106517736864,0.25530415107837889,1.0
ENSG00000116251,RPL22,8.4656872049526974,0.40555701675778844,0.23246005761742436,6.3926885407317,-0.40555701675778844,0.23246005761740579
ENSG00000158286,RNF207,0.0027625520248214025,-0.67034165035722371,0.68754631789496234,0.0042756372812079021,0.67034165035722371,0.68754631789496234
ENSG00000116237,ICMT,0.028853321148134648,-0.094839478885133666,0.98020456974677939,0.030540266294342158,0.094839478885133666,0.98020456974677939
ENSG00000158292,GPR153,0.0015347511249007792,0.0077302547554154444,1.0,0.0012216106517736864,-0.0077302547554154444,1.0
ENSG00000097021,ACOT7,0.020565665073670442,0.34030559384228543,0.66237061801377772,0.01588093847305792,-0.34030559384228543,0.66237061801377772
ENSG00000271746,RP1-202O8.3,0.0079807058494840519,0.17765525619772671,0.95531624730472886,0.0067188585847552749,-0.17765525619772671,0.95531624730472198
ENSG00000069812,HES2,0.0021486515748610907,0.007730254755413668,1.0,0.0018324159776605294,-0.007730254755413668,1.0
ENSG00000187017,ESPN,0.0012278008999206233,1.3296583496427772,0.55447391373931798,0.0,-1.3296583496427772,0.55447391373931798
ENSG00000215788,TNFRSF25,0.19614119376231959,3.3296583496427758,4.312628093271113e-20,0.018934965102492138,-3.3296583496427758,4.5736830625974521e-20
ENSG00000171680,PLEKHG5,0.0024556017998412466,1.1776552561977276,0.54981871981627362,0.00061080532588684319,-1.1776552561977276,0.54981871981627395
ENSG00000162408,NOL9,0.051260687571686024,0.46931033997128857,0.33501276399907293,0.036648319553210587,-0.46931033997128857,0.33501276399907293
ENSG00000204859,ZBTB48,0.026397719348293401,-0.22175159136735356,0.77857516027009777,0.030540266294342158,0.22175159136735356,0.77857516027009777
ENSG00000162413,KLHL21,0.021179565523630754,-0.14838894716186779,0.89235932681314112,0.023210602383700041,0.14838894716186779,0.89235932681314112
ENSG00000116273,PHF13,0.0082876560744642083,0.23012267609186221,0.94695450837957795,0.0067188585847552749,-0.23012267609186221,0.94695450837957795
ENSG00000041988,THAP3,0.043586931947182127,0.67574849520412883,0.14671628744946913,0.0268754343390211,-0.67574849520412883,0.14671628744946913
ENSG00000007923,DNAJC11,0.022714316648531532,-0.085379149636066742,0.99968757166339006,0.023821407709586882,0.085379149636066742,0.99968757166339006
ENSG00000228750,RP11-242F24.1,0.00030695022498015582,0.007730254755413668,1.0,0.0,-0.007730254755413668,1.0
ENSG00000237436,RP11-312B8.1,0.0027625520248214025,0.32965834964277718,0.95754458310564661,0.0018324159776605294,-0.32965834964277718,0.95754458310564661
ENSG00000171735,CAMTA1,0.19000218926271648,-0.98293188066524984,0.00030095229735182388,0.37564527542040854,0.98293188066524984,0.00030095229735182388
ENSG00000269978,RP11-338N10.3,0.00030695022498015582,0.007730254755413668,1.0,0.0,-0.007730254755413668,1.0
ENSG00000049245,VAMP3,0.065380397920773187,-2.0189870836203654,4.3642576483314352e-14,0.26570031676077677,2.0189870836203654,4.3642576483314352e-14
ENSG00000049246,PER3,0.011664108549245922,-0.87679252782464978,0.11093396088737258,0.021378186406039511,0.87679252782464978,0.11093396088737258
ENSG00000236266,RP3-467L1.4,0.001841701349880935,0.81508517681301917,0.69536025806818524,0.00061080532588684319,-0.81508517681301917,0.69536025806818524
ENSG00000049247,UTS2,0.010129357424345143,2.0951930960057545,0.014530622483138711,0.0018324159776605294,-2.0951930960057545,0.014530622483138685
ENSG00000049249,TNFRSF9,0.0085946062994443628,0.69578624844067338,0.49753680572244069,0.0048864426070947455,-0.69578624844067338,0.49753680572244069
ENSG00000116288,PARK7,0.79960533607330597,-0.21070241484754321,0.59167034813051211,0.92537006871856731,0.21070241484754321,0.5916703481305402
ENSG00000116285,ERRFI1,0.0036834026997618701,1.7081699728965072,0.21609293327170598,0.00061080532588684319,-1.7081699728965072,0.21609293327170598
ENSG00000162426,SLC45A1,0.00092085067494046752,-1.3141978401319498,0.47016452748417115,0.0024432213035473728,1.3141978401319498,0.47016452748417115
ENSG00000142599,RERE,0.10160052446843158,-0.12502495409635728,0.83385937255997689,0.11055576398551861,0.12502495409635728,0.83385937255997766
ENSG00000232912,RP5-1115A15.1,0.0046042533747023377,0.007730254755413668,1.0,0.0042756372812079021,-0.007730254755413668,1.0
ENSG00000074800,ENO1,1.1805305652736793,-0.36930939255592843,0.26757935007480738,1.5251808987394473,0.36930939255592843,0.26757935007480738
ENSG00000230679,ENO1-AS1,0.0070598551745435839,1.5926927554765706,0.10565414289408914,0.0018324159776605294,-1.5926927554765706,0.10565414289408914
ENSG00000131686,CA6,0.0095154569743848318,4.0077302547554146,0.00016779670730279923,0.0,-4.0077302547554146,0.00016779670730279923
ENSG00000142583,SLC2A5,0.0030695022498015583,0.88219937267155579,0.61900949132069771,0.0012216106517736864,-0.88219937267155579,0.61900949132069771
ENSG00000180758,GPR157,0.0052181538246626495,0.007730254755413668,1.0,0.0048864426070947455,-0.007730254755413668,1.0
ENSG00000228526,MIR34AHG,0.0,-1.9922697452445863,0.55447391373931798,0.00061080532588684319,1.9922697452445863,0.55447391373931798
ENSG00000234546,RP3-510D11.2,0.00030695022498015582,0.007730254755413668,1.0,0.0,-0.007730254755413668,1.0
ENSG00000049239,H6PD,0.023942117548452154,-0.66576892056739911,0.14311989505084638,0.037869930204984276,0.66576892056739911,0.14311989505084649
ENSG00000171621,SPSB1,0.010436307649325299,4.1370132717003809,0.00017489605519684304,0.0,-4.1370132717003809,0.00017489605519684304
ENSG00000171612,SLC25A33,0.047884235096904308,-0.60453959196147755,0.10714639320552879,0.072685833780534337,0.60453959196147755,0.10714639320552879
ENSG00000188807,TMEM201,0.0049112035996824932,-0.71216182605185008,0.51831292691947861,0.00794046923652896,0.71216182605185008,0.51831292691947861
ENSG00000171608,PIK3CD,0.17772418026351022,0.77824840863264644,0.020867512878655049,0.1032261000748765,-0.77824840863264644,0.020867512878655049
ENSG00000179840,PIK3CD-AS1,0.0036834026997618701,-0.29183002710349371,1.0,0.0042756372812079021,0.29183002710349371,1.0
ENSG00000231789,PIK3CD-AS2,0.0058320542746229612,2.3296583496427772,0.030741872822433246,0.00061080532588684319,-2.3296583496427772,0.030741872822433274
ENSG00000171603,CLSTN1,0.10252137514337205,0.81078503937939228,0.024289615065610122,0.058026505959250095,-0.81078503937939228,0.024289615065610122
ENSG00000178585,CTNNBIP1,0.058013592521249456,-1.3353034731435995,4.6445450953587294e-06,0.14659327821284235,1.3353034731435995,4.6445450953587294e-06
ENSG00000162441,LZIC,0.073975004220217563,-0.40432338608460849,0.3041807398208613,0.097728852141894904,0.40432338608460849,0.3041807398208613
ENSG00000173614,NMNAT1,0.020258714848690285,-0.13563392041576261,0.93390666128421373,0.021988991731926352,0.13563392041576261,0.93390666128421373
ENSG00000162444,RBP7,0.014119710349087168,-5.3018670382212285,6.9809812058107747e-64,0.56865975840065097,5.3018670382212285,7.9243570444338523e-64
ENSG00000130939,UBE4B,0.05218153824662649,0.068030765023228135,1.0,0.049475231396834296,-0.068030765023228135,1.0
ENSG00000054523,KIF1B,0.01626836192394826,-0.99226974524458544,0.03263358728928676,0.032372682272002684,0.99226974524458544,0.03263358728928676
ENSG00000142657,PGD,0.0764306060200588,-2.4485502267553114,8.6424610102610193e-21,0.41840164823248754,2.4485502267553114,9.1883006530143469e-21
ENSG00000251503,APITD1-CORT,0.00061390044996031165,-0.99226974524458456,0.82186389376133595,0.0012216106517736864,0.99226974524458456,0.82186389376133573
ENSG00000175279,APITD1,0.01105020809928561,1.2171836203843638,0.094534725273639708,0.0042756372812079021,-1.2171836203843638,0.094534725273639764
ENSG00000160049,DFFA,0.074281954445197709,0.52315182222349321,0.21730369880267228,0.051307647374494822,-0.52315182222349321,0.21730369880267228
ENSG00000142655,PEX14,0.031308922947975895,0.93934327977516396,0.053731849005902256,0.01588093847305792,-0.93934327977516396,0.053731849005897017
ENSG00000130940,CASZ1,0.0076737556245038956,-0.099184949161097435,1.0,0.00794046923652896,0.099184949161097435,1.0
ENSG00000175262,C1orf127,0.0,-2.5772322459657424,0.26812418386153464,0.0012216106517736864,2.5772322459657424,0.26812418386153464
ENSG00000120948,TARDBP,0.11940363751728061,-0.10603862020216015,0.87756321876991783,0.12826911843623706,0.10603862020216015,0.87756321876991783
ENSG00000009724,MASP2,0.00061390044996031165,0.59269275547657152,1.0,0.0,-0.59269275547657152,1.0
ENSG00000271895,RP4-635E18.8,0.0055251040496428049,-0.3293047325221572,0.80783183289910165,0.0067188585847552749,0.3293047325221572,0.8078318328991021
ENSG00000116649,SRM,0.24034202615946201,0.11068744510324269,0.89969535271410706,0.2223331386228109,-0.11068744510324269,0.89969535271410706
ENSG00000171824,EXOSC10,0.065073447695793041,0.35012245220249216,0.49753680572244069,0.050696842048607978,-0.35012245220249216,0.49753680572244069
ENSG00000226849,RP4-635E18.7,0.0012278008999206233,-0.25530415107837889,1.0,0.0012216106517736864,0.25530415107837889,1.0
ENSG00000230337,RP4-635E18.6,0.00030695022498015582,-1.5772322459657424,0.49753680572244069,0.0012216106517736864,1.5772322459657424,0.49753680572244069
ENSG00000198793,MTOR,0.023635167323471998,0.29313247361766237,0.71598486618612067,0.018934965102492138,-0.29313247361766237,0.71598486618612067
ENSG00000120942,UBIAD1,0.082876560744642072,1.0237901056515133,0.0050959531885484601,0.040313151508531646,-1.0237901056515133,0.0050959531885484601
ENSG00000116661,FBXO2,0.023942117548452154,3.7265485022113616,1.1012754965438822e-07,0.0012216106517736864,-3.7265485022113616,1.1012754965438822e-07
ENSG00000132879,FBXO44,0.068142949945594597,1.6793471377307521,1.4129486210948574e-05,0.020767381080152667,-1.6793471377307521,1.4129486210948574e-05
ENSG00000116663,FBXO6,0.05218153824662649,-0.69335830308219526,0.051909603274913049,0.084291134972384357,0.69335830308219526,0.051909603274913049
ENSG00000116670,MAD2L2,0.11572023481751875,-0.43565187021739149,0.21969486078866579,0.15636616342703186,0.43565187021739149,0.21969486078866579
ENSG00000162490,DRAXIN,0.0033764524747817142,-0.86673886316072668,0.41518319594075864,0.0061080532588684315,0.86673886316072668,0.41518319594075864
ENSG00000177674,AGTRAP,0.10712562851807439,-2.2099436176785039,9.322218088250757e-18,0.49658472994600344,2.2099436176785039,9.8290571299420594e-18
ENSG00000215910,C1orf167,0.0,-1.9922697452445863,0.55447391373931798,0.00061080532588684319,1.9922697452445863,0.55447391373931798
ENSG00000177553,RP11-56N19.5,0.00030695022498015582,0.007730254755413668,1.0,0.0,-0.007730254755413668,1.0
ENSG00000177000,MTHFR,0.036527076772638542,-0.87979501598617338,0.013897514293926322,0.067188585847552745,0.87979501598617338,0.013897514293926322
ENSG00000011021,CLCN6,0.015347511249007791,-0.5292977689020395,0.3973024696518942,0.021988991731926352,0.5292977689020395,0.3973024696518942
ENSG00000242349,NPPA-AS1,0.0024556017998412466,0.59269275547657152,0.77413996545387154,0.0012216106517736864,-0.59269275547657152,0.77413996545387154
ENSG00000175206,NPPA,0.00030695022498015582,0.007730254755413668,1.0,0.0,-0.007730254755413668,1.0
ENSG00000116685,KIAA2013,0.055864940946388365,-0.86027419943459549,0.0091982612775818543,0.10139368409721596,0.86027419943459549,0.0091982612775818543
ENSG00000083444,PLOD1,0.0061390044996031167,-2.8478798359094109,9.1512197223820874e-12,0.045810399441513237,2.8478798359094109,9.1512197223820874e-12
ENSG00000116688,MFN2,0.036220126547658389,-0.66730759026759046,0.09551481755394256,0.057415700633363258,0.66730759026759046,0.09551481755394256
ENSG00000116691,MIIP,0.079807058494840516,-0.84088069523970121,0.0065529867624175538,0.1429284462575213,0.84088069523970121,0.0065529867624175651
ENSG00000120949,TNFRSF8,0.00092085067494046752,-5.1621947466868994,1.6583620470956452e-20,0.04336717813796586,5.1621947466868994,1.7646673065248529e-20
ENSG00000028137,TNFRSF1B,0.15040561024027635,-1.9261346434452693,3.3438097008501014e-14,0.57232459035597205,1.9261346434452693,3.3438097008501014e-14
ENSG00000048707,VPS13D,0.041745230597301196,-0.023520679229026342,1.0,0.042145567486192179,0.023520679229026342,1.0
ENSG00000229484,RP5-888M10.2,0.00061390044996031165,0.59269275547657152,1.0,0.0,-0.59269275547657152,1.0
ENSG00000162496,DHRS3,0.058934443196189921,1.3522597785799091,0.0010104407065477116,0.022599797057813197,-1.3522597785799091,0.0010104407065477116
ENSG00000179172,HNRNPCL1,0.00092085067494046752,-0.57723224596574241,0.88055410965687508,0.0012216106517736864,0.57723224596574241,0.8805541096568742
ENSG00000277058,HNRNPCL3,0.0,-1.9922697452445863,0.55447391373931798,0.00061080532588684319,1.9922697452445863,0.55447391373931798
ENSG00000275774,HNRNPCL2,0.0,-1.9922697452445863,0.55447391373931798,0.00061080532588684319,1.9922697452445863,0.55447391373931798
