Gene ID,Gene Name,Cluster 1 Mean UMI Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean UMI Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean UMI Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean UMI Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value
ENSG00000238009,RP11-34P13.7,0.0012827102225042965,0.36224676964208413,0.87416643523954973,0.0,-0.16707240138989832,1.0,0.0,3.6291957346483157,1.0,0.0,4.8022615193290239,1.0
ENSG00000279457,FO538757.2,0.099281771221832543,-0.51762065219988784,0.37714947014256528,0.14491225734695759,0.54944980356453632,0.4185564780410419,0.11304668050686126,0.2512622300322116,1.0,0.11065150456928692,0.41280943024465344,1.0
ENSG00000228463,AP006222.2,0.02154953173807218,-0.72021539054988892,0.33723477460652351,0.036228064336739398,0.78230152554013443,0.3659043005414338,0.032299051573388929,0.99176581403302411,1.0,0.0,0.55433400588543869,1.0
ENSG00000237094,RP4-669L17.10,0.0043612147565146074,0.36224676964208413,1.0,0.0026835603212399554,-0.16707240138989743,1.0,0.0,1.8922301404821091,1.0,0.0,3.0652959251628182,1.0
ENSG00000230021,RP5-857K21.4,0.00076962613350257784,-1.2227157310790719,0.81197535363502615,0.0013417801606199777,1.4178900993312578,0.82541388048490716,0.0,3.8922301404821082,1.0,0.0,5.0652959251628182,1.0
ENSG00000237491,RP11-206L10.9,0.027449998761591942,0.13985434830563559,1.0,0.0241520428911596,-0.11554210074981519,1.0,0.016149525786694464,0.2254735485973054,1.0,0.036883834856428974,1.3985393332780145,1.0
ENSG00000225880,LINC00115,0.016418690848054994,-0.10723851365913628,1.0,0.018784922248679687,0.30241288191132298,0.93349199119901916,0.0,-0.089622512807631338,1.0,0.0,1.0834432718730778,1.0
ENSG00000230368,FAM41C,0.02180607378257304,-0.3200129324339871,0.79588446683924108,0.028177383373019532,0.43437822211982713,0.72253238511933326,0.0,-0.54072926679399735,1.0,0.036883834856428974,1.6457570336490335,1.0
ENSG00000230699,RP11-54O7.1,0.00025654204450085928,-1.2227157310790719,1.0,0.0,1.4178900993312578,1.0,0.0,5.2141582353694718,1.0,0.0,6.38722402005018,1.0
ENSG00000187634,SAMD11,0.00076962613350257784,-0.22271573107907194,1.0,0.0,0.41789009933125776,1.0,0.0,4.2141582353694718,1.0,0.0,5.38722402005018,1.0
ENSG00000188976,NOC2L,0.15135980625550699,-0.35555141378616462,0.53417694884035638,0.20395058441423661,0.44645925152802945,0.48580325442278799,0.11304668050686126,-0.32693837998005204,1.0,0.073767669712857947,-0.57856026461190613,1.0
ENSG00000187961,KLHL17,0.0041046727120137485,0.27978460945011108,1.0,0.0026835603212399554,-0.084610241197924374,1.0,0.0,1.9662307219258857,1.0,0.0,3.1392965066065948,1.0
ENSG00000187583,PLEKHN1,0.0035915886230120301,-0.63775323035791676,0.8379750255982461,0.0053671206424799108,0.83292759861010257,0.866323751661917,0.0,1.9662307219258857,1.0,0.0,3.1392965066065948,1.0
ENSG00000272512,RP11-54O7.17,0.0012827102225042965,0.36224676964208413,0.87416643523954973,0.0,-0.16707240138989832,1.0,0.0,3.6291957346483157,1.0,0.0,4.8022615193290239,1.0
ENSG00000188290,HES4,0.059004670235197634,1.3071052154496225,0.081879093226044919,0.020126702409299667,-1.4586268472337416,0.10240628955066913,0.048448577360083393,0.26579100378479437,1.0,0.036883834856428974,0.42722208798209937,1.0
ENSG00000187608,ISG15,0.26629064219189191,-0.5009438105621391,0.35756249631271098,0.40790116882847322,0.63575656920423973,0.2889573046123648,0.096897154720166787,-1.3740209780352275,1.0,0.14753533942571589,-0.68852251801072439,1.0
ENSG00000224969,RP11-54O7.11,0.00051308408900171856,-0.63775323035791587,1.0,0.0,0.83292759861010168,1.0,0.0,4.6291957346483157,1.0,0.0,5.8022615193290239,1.0
ENSG00000188157,AGRN,0.0020523363560068742,-1.0527907296367598,0.72336159349999185,0.0013417801606199777,-0.041541519306038666,1.0,0.032299051573388929,4.4771926412032652,0.31206331302047813,0.0,3.8022615193290239,1.0
ENSG00000273443,RP11-54O7.18,0.00025654204450085928,-2.2227157310790719,0.60541790141766705,0.0013417801606199777,2.4178900993312578,0.62886639131588773,0.0,4.6291957346483157,1.0,0.0,5.8022615193290239,1.0
ENSG00000131591,C1orf159,0.01103130791353695,-0.085212207329137257,1.0,0.010734241284959822,0.095962004443896021,1.0,0.016149525786694464,1.5137185172283791,1.0,0.0,1.6593035654869812,1.0
ENSG00000162571,TTLL10,0.0012827102225042965,-0.63775323035791587,1.0,0.0013417801606199777,0.83292759861010168,1.0,0.0,3.406803313311868,1.0,0.0,4.5798690979925762,1.0
ENSG00000186891,TNFRSF18,0.053104203211677872,-0.8621260158226054,0.15228526436929268,0.10734241284959822,1.0573003840747912,0.092818366901997601,0.0,-1.9557667660728413,1.0,0.0,-0.78270098139213218,1.0
ENSG00000186827,TNFRSF4,0.11056962117987035,-0.067741071102731532,1.0,0.120760214455798,0.15089767992878134,0.93009928082432858,0.080747628933472329,-0.23154640015631323,1.0,0.036883834856428974,-0.65443513158703404,1.0
ENSG00000078808,SDF4,0.17342242208258088,-0.67768470263164771,0.17739162323315047,0.2831156138908153,0.70079570802603497,0.22810604928408909,0.27454193837380592,0.58480161528986185,1.0,0.11065150456928692,-0.43454996192038697,1.0
ENSG00000176022,B3GALT6,0.0038481306675128891,-1.0300706531366766,0.48511651014134882,0.0053671206424799108,0.56989319277630823,0.92204841193217513,0.032299051573388929,3.4771926412032661,0.69147908664742397,0.0,2.9277924014128835,1.0
ENSG00000184163,FAM132A,0.00076962613350257784,-1.807678231800228,0.49328054838950885,0.0013417801606199777,1.095962004443896,0.89516855118490801,0.0,3.6291957346483157,1.0,0.036883834856428974,6.0652959251628182,0.64309613569923163
ENSG00000260179,RP5-902P8.12,0.0015392522670051557,0.58463919097853179,0.87451640147426224,0.0,-0.38946482272634597,0.92643926929973819,0.0,3.406803313311868,1.0,0.0,4.5798690979925762,1.0
ENSG00000160087,UBE2J2,0.12647522793892363,-0.67522793577657891,0.18541090607282601,0.20395058441423661,0.68092450516505254,0.25873861274804622,0.20994383522702803,0.67943848942793705,1.0,0.11065150456928692,0.023089365042128662,1.0
ENSG00000162572,SCNN1D,0.002821962489509452,1.3622467696420841,0.53417694884035638,0.0,-1.1670724013898983,0.75180526685360061,0.0,2.6291957346483157,1.0,0.0,3.8022615193290239,1.0
ENSG00000131584,ACAP3,0.040277100986634909,-0.41078807923164362,0.58318081143154765,0.057696546906659041,0.56443876268420023,0.47447889321651576,0.016149525786694464,-0.43689345580945727,1.0,0.0,-0.27098746270161378,1.0
ENSG00000169972,PUSL1,0.033093923740610848,-0.37027291949292973,0.65556176064874516,0.040253404818599334,0.29527081266730359,0.80739366495961529,0.048448577360083393,0.87430823248484701,1.0,0.073767669712857947,1.6234583665402593,1.0
ENSG00000127054,CPSF3L,0.11493083593638496,-0.38942401983784203,0.49983789197833733,0.15296293831067748,0.41789009933125865,0.53598231525398754,0.17764478365363912,0.66212962401039821,1.0,0.0,-1.7776829066255071,1.0
ENSG00000224051,CPTP,0.028989251028597098,-0.81609047161642856,0.21010240412446066,0.049645865942939175,0.77099984946690103,0.33895996608086043,0.048448577360083393,0.95677039267682007,1.0,0.073767669712857947,1.7053999800764355,1.0
ENSG00000169962,TAS1R3,0.00025654204450085928,-2.2227157310790719,0.60541790141766705,0.0013417801606199777,2.4178900993312578,0.62886639131588773,0.0,4.6291957346483157,1.0,0.0,5.8022615193290239,1.0
ENSG00000107404,DVL1,0.0084658874685283568,-0.83569260796982547,0.44966098112630193,0.013417801606199778,0.70739671652624292,0.64156413367678555,0.032299051573388929,2.3396891174533314,1.0,0.0,1.8636620639931678,1.0
