Gene ID,Gene Name,Cluster 1 Mean UMI Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean UMI Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean UMI Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
ENSG00000078808,SDF4,0.17315537100189171,-0.69032804341674714,0.16720300219518858,0.27923521456824307,0.67941262855633355,0.21629321101809038,0.27454193837380592,0.58480161528986185,1.0
ENSG00000176022,B3GALT6,0.0038422049778526262,-1.042713993921776,0.48256942474123526,0.0052193498050138887,0.52201472499018386,0.90144334541952575,0.032299051573388929,3.4771926412032661,0.69147908664742397
ENSG00000184163,FAM132A,0.00076844099557052533,-1.8203215725853283,0.49142888697842313,0.0026096749025069444,1.9549741322662904,0.48782430319322484,0.0,3.6291957346483157,1.0
ENSG00000260179,RP5-902P8.12,0.0015368819911410507,0.57199585019343147,0.87615864686807421,0.0,-0.43734329051246945,0.90144334541952575,0.0,3.406803313311868,1.0
ENSG00000160087,UBE2J2,0.12653661727061316,-0.67639177967595954,0.18429525374091299,0.20094496749303473,0.6574513500472059,0.24871418049697541,0.20994383522702803,0.67943848942793705,1.0
ENSG00000162572,SCNN1D,0.0028176169837585926,1.3496034288569838,0.53526368594046536,0.0,-1.2149508691760218,0.57203655982646318,0.0,2.6291957346483157,1.0
ENSG00000131584,ACAP3,0.040215078768190825,-0.42343142001674305,0.55123792660456883,0.056108010403899303,0.51656029489807587,0.49802811550123105,0.016149525786694464,-0.43689345580945727,1.0
ENSG00000169972,PUSL1,0.033042962809532589,-0.38291626027802916,0.61506830923410016,0.04175479844011111,0.35912331540239872,0.706553043921061,0.048448577360083393,0.87430823248484701,1.0
ENSG00000127054,CPSF3L,0.11449770834000826,-0.41668883657873312,0.46345063923490437,0.15005630689414931,0.38564228325889882,0.55252993575933074,0.17764478365363912,0.66212962401039821,1.0
ENSG00000224051,CPTP,0.029200757831679962,-0.78218644369855728,0.23090076396559947,0.049583823147631947,0.77277080104554141,0.29419697489230823,0.048448577360083393,0.95677039267682007,1.0
ENSG00000169962,TAS1R3,0.00025614699852350841,-2.2353590718641723,0.60370422261129575,0.0013048374512534722,2.3700116315451343,0.6074574939657037,0.0,4.6291957346483157,1.0
ENSG00000107404,DVL1,0.0084528509512757782,-0.84833594875492491,0.44844167948649638,0.013048374512534723,0.65951824874011855,0.62129628070896181,0.032299051573388929,2.3396891174533314,1.0
ENSG00000162576,MXRA8,0.0061475279645642027,0.82353461718939602,0.62998842962796597,0.0026096749025069444,-0.68888205750843401,0.77406878287710712,0.0,1.4592707332060026,1.0
ENSG00000175756,AURKAIP1,0.32376980613371464,-0.46181886279881113,0.38400394329006293,0.44494957087743403,0.45135758662077796,0.44573662923288182,0.45218672202744503,0.42288305297972917,1.0
ENSG00000221978,CCNL2,0.09810430043450373,-0.52076129072642008,0.37229462023142978,0.14483695708913541,0.57374020861654618,0.36140690085938038,0.080747628933472329,-0.15216397887634425,1.0
ENSG00000242485,MRPL20,0.25204864654713227,-0.32480215905788312,0.56337254649434587,0.30663680104456598,0.27108739900396062,0.67851942953461508,0.41988767045405606,0.71638030508269179,1.0
ENSG00000272455,RP4-758J18.13,0.0087089979497992874,-0.10607605491920502,1.0,0.007829024707520834,0.0074415521604258572,1.0,0.016149525786694464,1.856606230751388,1.0
