PC,Proportion.Variance.Explained
1,0.0041585227664509778
2,0.0031323951267908422
3,0.0023822888480440826
4,0.0022462320672440761
5,0.0016092578802528745
6,0.0015902461732339645
7,0.0015168861281136601
8,0.0014582694824373874
9,0.0013406363996072202
10,0.001330316112324889
