Gene
1,ENSG00000251230
2,ENSG00000266074
3,ENSG00000100767
4,ENSG00000150760
5,ENSG00000204025
6,ENSG00000224812
7,ENSG00000269711
8,ENSG00000277443
9,ENSG00000170956
10,ENSG00000186567
11,ENSG00000100095
12,ENSG00000170153
13,ENSG00000258101
14,ENSG00000229292
15,ENSG00000272568
16,ENSG00000171812
17,ENSG00000270115
18,ENSG00000124003
19,ENSG00000162723
20,ENSG00000280560
21,ENSG00000108176
22,ENSG00000121933
23,ENSG00000196422
24,ENSG00000281491
25,ENSG00000237476
26,ENSG00000108823
27,ENSG00000197249
28,ENSG00000279152
29,ENSG00000137727
30,ENSG00000263015
31,ENSG00000158402
32,ENSG00000176769
33,ENSG00000146858
34,ENSG00000006047
35,ENSG00000124249
36,ENSG00000162062
37,ENSG00000256646
38,ENSG00000159450
39,ENSG00000215372
40,ENSG00000115884
41,ENSG00000270604
42,ENSG00000262454
43,ENSG00000197888
44,ENSG00000236915
45,ENSG00000182022
46,ENSG00000126878
47,ENSG00000255750
48,ENSG00000145103
49,ENSG00000275149
50,ENSG00000183023
51,ENSG00000144648
52,ENSG00000281325
53,ENSG00000205755
54,ENSG00000253295
55,ENSG00000273090
56,ENSG00000227145
57,ENSG00000162366
58,ENSG00000236423
59,ENSG00000249334
60,ENSG00000257514
61,ENSG00000272217
62,ENSG00000127920
63,ENSG00000170500
64,ENSG00000168994
65,ENSG00000187942
66,ENSG00000254281
67,ENSG00000047597
68,ENSG00000159217
69,ENSG00000154277
70,ENSG00000277247
71,ENSG00000127533
72,ENSG00000170647
73,ENSG00000240498
74,ENSG00000159714
75,ENSG00000175489
76,ENSG00000165730
77,ENSG00000124091
78,ENSG00000159556
79,ENSG00000164045
80,ENSG00000173068
81,ENSG00000109099
82,ENSG00000204291
83,ENSG00000260608
84,ENSG00000266958
85,ENSG00000166025
86,ENSG00000273828
87,ENSG00000272128
88,ENSG00000049323
89,ENSG00000164124
90,ENSG00000172817
91,ENSG00000113140
92,ENSG00000185052
93,ENSG00000112232
94,ENSG00000235749
95,ENSG00000132669
96,ENSG00000175874
97,ENSG00000138772
98,ENSG00000064225
99,ENSG00000058091
100,ENSG00000254030
101,ENSG00000272701
102,ENSG00000266969
103,ENSG00000176771
104,ENSG00000227421
105,ENSG00000143067
106,ENSG00000275897
107,ENSG00000260645
108,ENSG00000099864
109,ENSG00000109832
110,ENSG00000100373
111,ENSG00000260063
112,ENSG00000124731
113,ENSG00000105967
114,ENSG00000070985
115,ENSG00000225177
116,ENSG00000182636
117,ENSG00000111732
118,ENSG00000104081
119,ENSG00000172322
120,ENSG00000131724
121,ENSG00000122778
122,ENSG00000219607
123,ENSG00000171794
124,ENSG00000229671
125,ENSG00000214050
126,ENSG00000230387
127,ENSG00000229140
128,ENSG00000179284
129,ENSG00000243762
130,ENSG00000119411
131,ENSG00000229278
132,ENSG00000170390
133,ENSG00000270277
134,ENSG00000261327
135,ENSG00000204764
136,ENSG00000257718
137,ENSG00000102104
138,ENSG00000137571
139,ENSG00000221887
140,ENSG00000082397
141,ENSG00000154319
142,ENSG00000198682
143,ENSG00000182218
144,ENSG00000121236
145,ENSG00000234884
146,ENSG00000271742
147,ENSG00000144821
148,ENSG00000255050
149,ENSG00000177685
150,ENSG00000151917
151,ENSG00000239961
152,ENSG00000123095
153,ENSG00000104848
154,ENSG00000115590
155,ENSG00000044459
156,ENSG00000180592
157,ENSG00000273472
158,ENSG00000166444
159,ENSG00000260135
160,ENSG00000164619
161,ENSG00000113100
162,ENSG00000087842
163,ENSG00000156970
164,ENSG00000234147
165,ENSG00000258035
166,ENSG00000196503
167,ENSG00000228541
168,ENSG00000163283
169,ENSG00000176399
170,ENSG00000128594
171,ENSG00000231081
172,ENSG00000143512
173,ENSG00000166825
174,ENSG00000180340
175,ENSG00000141338
176,ENSG00000231636
177,ENSG00000198185
178,ENSG00000227017
179,ENSG00000158246
180,ENSG00000014257
181,ENSG00000128266
182,ENSG00000165480
183,ENSG00000122126
184,ENSG00000266844
185,ENSG00000073282
186,ENSG00000278071
187,ENSG00000072694
