Gene ID,Gene Name,Cluster 1 Mean UMI Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean UMI Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean UMI Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
ENSG00000238009,RP11-34P13.7,0.0011380819698241875,-1.0299207503696142,0.59821194965455748,0.0025381512050051277,0.81105072129252065,0.74168091025880023,0.0029279327133213537,1.2075700561549931,0.85998382380420435
ENSG00000239945,RP11-34P13.8,0.0,-1.8075283290331665,0.44612830902609846,0.0012690756025025638,2.6590476278474693,0.25553594197798479,0.0,1.0376450547126801,1.0
ENSG00000279928,FO538757.3,0.0,-1.2225658283120104,0.69336197842535507,0.00063453780125128192,2.0740851271263132,0.54727902532075823,0.0,1.6226075554338362,1.0
ENSG00000279457,FO538757.2,0.081183180514125375,-0.09642479817892724,0.89106028653244718,0.08566260316892306,0.053023511598484951,1.0,0.089301947756301292,0.12559275398838388,1.0
ENSG00000228463,AP006222.2,0.051213688642088438,-0.0054677066450761203,1.0,0.04632125949134358,-0.20027728450899218,0.78361267211398267,0.062950553336409101,0.3746800419902514,0.82655040761208076
ENSG00000237094,RP4-669L17.10,0.0026555245962564373,0.19247167096683349,1.0,0.0019036134037538456,-0.24784296776104853,0.96707263396205234,0.0029279327133213537,0.74813843751769671,1.0
ENSG00000230021,RP5-857K21.4,0.00037936065660806249,0.77743417168798956,1.0,0.0,0.074085127126313211,1.0,0.0,1.6226075554338362,1.0
ENSG00000229905,RP11-206L10.4,0.0,-1.8075283290331665,0.45554395740216169,0.0,-0.51087737359484287,1.0,0.0029279327133213537,4.2075700561549931,0.17683103342998879
ENSG00000237491,RP11-206L10.9,0.020864836113443436,-0.27319190138197857,0.69336197842535507,0.023477898646297429,0.074085127126314099,1.0,0.029279327133213535,0.47576616710456587,0.845935303749629
ENSG00000177757,FAM87B,0.0,-1.8075283290331665,0.44612830902609846,0.0012690756025025638,2.6590476278474693,0.25553594197798479,0.0,1.0376450547126801,1.0
ENSG00000225880,LINC00115,0.0098633770718096255,-0.27503324820614594,0.77421826955762885,0.012056218223774355,0.26673020506871037,0.83073452498498468,0.011711730853285415,0.26897060081913704,1.0
ENSG00000230368,FAM41C,0.02579652464934825,-0.43596946642120482,0.41401316100545144,0.022843360845046148,-0.5238164293023404,0.3488099311511445,0.062950553336409101,1.3677936564050115,0.011299342350748172
ENSG00000230699,RP11-54O7.1,0.00037936065660806249,-0.22256582831201044,1.0,0.00063453780125128192,1.0740851271263132,0.77379290313182425,0.0,1.0376450547126801,1.0
ENSG00000187634,SAMD11,0.00075872131321612498,-0.22256582831201044,1.0,0.0012690756025025638,1.0740851271263132,0.81972487536351235,0.0,0.30067946054647443,1.0
ENSG00000188976,NOC2L,0.1748852626963168,0.6179559576807927,0.054434924799718315,0.097718821392697414,-0.79189752490199794,0.020640592228911962,0.15078853473604972,0.056260732880028197,1.0
ENSG00000187961,KLHL17,0.0011380819698241875,-1.2225658283120104,0.44798423661313536,0.0031726890062564093,1.0740851271263132,0.54727902532075823,0.0029279327133213537,1.037645054712681,1.0
ENSG00000187583,PLEKHN1,0.0030348852528644999,1.3623966724091456,0.31821421682636425,0.00063453780125128192,-1.2478429677610485,0.4067325204665323,0.0014639663566606768,0.30067946054647443,1.0
ENSG00000272512,RP11-54O7.17,0.00037936065660806249,-1.5444939231993722,0.42449966868894634,0.0019036134037538456,1.4891226264051571,0.57299950496673557,0.0014639663566606768,1.3006794605464744,1.0
ENSG00000188290,HES4,0.010242737728417687,-3.4813000967121792,2.0435340492546094e-20,0.16624890392783587,4.0686099970601637,1.3385155093447655e-29,0.0073198317833033837,-2.9723390338599405,0.00015544000220292558
ENSG00000187608,ISG15,0.35925454180783517,-0.21646562877559328,0.65403813920529719,0.50572662759727172,0.61893304055610376,0.04882666275135452,0.21373908807245881,-0.94673142082681294,0.17287609744989252
ENSG00000188157,AGRN,0.00151744262643225,-0.22256582831201044,1.0,0.0025381512050051277,1.074085127126315,0.54727902532075823,0.0,-0.54731744600847598,1.0
ENSG00000131591,C1orf159,0.013277622981282187,0.6994316596867165,0.34603613086537421,0.0082489914162666642,-0.47611195543416507,0.60240320794475477,0.0073198317833033837,-0.40713978796021433,1.0
ENSG00000162571,TTLL10,0.00151744262643225,0.099362266575351299,1.0,0.00063453780125128192,-0.73326979493129052,0.69835505525864283,0.0029279327133213537,1.6226075554338371,0.74469692203517668
ENSG00000186891,TNFRSF18,0.045523278792967498,2.4483698955189981,1.4859188725435468e-07,0.0025381512050051277,-3.6808023750371532,3.8491207752945229e-09,0.020495528993249475,-0.43628613361973123,0.99576478052682516
ENSG00000186827,TNFRSF4,0.08156254117073343,3.7249667517938541,6.8226252415736788e-18,0.0057108402112615369,-3.3853464915109832,1.8903977025036239e-11,0.0058558654266427073,-2.8692455408958377,0.00054439805837454335
ENSG00000078808,SDF4,0.21585621360998755,-0.039291273210678934,1.0,0.23477898646297429,0.15608986973649452,0.75417940960162122,0.19177959272254866,-0.2095152717727089,1.0
ENSG00000176022,B3GALT6,0.036039262377765939,0.1924716709668326,0.75995067321723153,0.026650587652553841,-0.4654344028336741,0.40109796947425502,0.042455024343159627,0.42097369426418663,0.79440137451772042
ENSG00000184163,FAM132A,0.00037936065660806249,-0.80752832903316651,0.84472651433622181,0.00063453780125128192,0.48912262640515713,1.0,0.0014639663566606768,2.0376450547126801,0.8409926974448988
