Gene,Normalized.Dispersion
ENSG00000238009,-0.82038926496016495
ENSG00000239945,0.20795039629973783
ENSG00000279928,0.14365671641791225
ENSG00000279457,-0.42459265477532465
ENSG00000228463,-0.66447655287772511
ENSG00000237094,-0.7274522392381636
ENSG00000230021,0.54811138682106419
ENSG00000229905,0.83963379690958206
ENSG00000237491,-0.6800785292785243
ENSG00000177757,-0.78394807848741732
ENSG00000225880,0.17594747926715321
ENSG00000230368,0.46900126477874893
ENSG00000230699,-1.5934216252336153
ENSG00000187634,-0.88341029370730184
ENSG00000188976,-0.98787683474241084
ENSG00000187961,-0.96321321534112092
ENSG00000187583,-1.5684486193457776
ENSG00000272512,0.061504342588122159
ENSG00000188290,9.8738343178245227
ENSG00000187608,24.708565126196124
ENSG00000188157,0.34051088718128381
ENSG00000131591,-0.96012665971090427
ENSG00000162571,-0.96297996852486423
ENSG00000186891,10.594957272313442
ENSG00000186827,8.6424166768228847
ENSG00000078808,0.33930682247178717
ENSG00000176022,-2.6388497974422576
ENSG00000184163,3.7748045760224103
ENSG00000260179,1.7812741527307689
ENSG00000160087,-2.7213272402103814
ENSG00000230415,-0.0013833984298804146
ENSG00000162572,1.4202259306325697
ENSG00000131584,0.97209740021268942
ENSG00000169972,-1.9762087257668388
ENSG00000127054,-0.12590779560330362
ENSG00000224051,-0.59128989612996097
ENSG00000169962,-1.3934285709601926
ENSG00000107404,-1.3875618333615043
ENSG00000162576,-1.3594237923872379
ENSG00000175756,-1.1078300368694578
ENSG00000221978,-0.046113566677911264
ENSG00000242485,-1.1128708018045017
ENSG00000272455,-1.5975764728297737
ENSG00000235098,-3.7092691039884511
ENSG00000215915,0.81737897639034285
ENSG00000160072,-1.594886415661352
ENSG00000197785,-0.51898182694486161
ENSG00000205090,-0.49890212686881735
ENSG00000160075,-1.1708081366549181
ENSG00000215014,-1.5741035074373195
ENSG00000228594,0.66898121911977315
ENSG00000272106,2.1040701984265389
ENSG00000197530,4.4843401574321096
ENSG00000189409,5.9739075844453549
ENSG00000248333,0.8018163382031821
ENSG00000272004,-1.3650298517878279
ENSG00000189339,0.084321218415682436
ENSG00000269737,0.60262330538938969
ENSG00000008128,-0.79999264706672213
ENSG00000215790,0.99727021717949527
ENSG00000008130,0.063570419988216303
ENSG00000078369,-0.49877107987901337
ENSG00000231050,0.46667049326910004
ENSG00000169885,1.2787427626137298
ENSG00000178821,-0.063980241011735439
ENSG00000142609,-1.0683116494722944
ENSG00000233542,1.451492537313436
ENSG00000067606,0.26472258730171727
ENSG00000271806,4.2280456073623744
ENSG00000182873,0.9302453818582852
ENSG00000162585,-0.55032946745242906
ENSG00000157933,1.891969303335814
ENSG00000116151,0.06532938400270949
ENSG00000157916,-1.1625396991487362
ENSG00000157911,-2.8026671874181011
ENSG00000149527,0.69059736416004525
ENSG00000157881,1.0833282517138239
ENSG00000272449,0.75814177967073015
ENSG00000238164,1.9231722324827971
ENSG00000157873,-0.89727976380985486
ENSG00000228037,-0.8728945618591899
ENSG00000157870,-1.549521086921271
ENSG00000142606,-0.53165539063877576
ENSG00000215912,0.054507128059175743
ENSG00000142611,-0.38905442490705133
ENSG00000162591,1.2337668488367688
ENSG00000238260,-0.62640395667365201
ENSG00000158109,0.46931539854888177
ENSG00000116213,-1.3722902746494636
ENSG00000078900,-1.1962043489702174
ENSG00000227372,-1.9888863474507936
ENSG00000235169,-1.3075597512243771
ENSG00000130764,-0.17369712503351009
ENSG00000116198,-0.73191241706740962
ENSG00000169598,0.872217748388884
ENSG00000198912,0.31562454569244563
ENSG00000236423,-0.3224506910941366
ENSG00000196581,0.5262680618566411
ENSG00000131697,1.8892971266268523
ENSG00000069424,0.3145411780731886
ENSG00000116254,1.9566426196988078
ENSG00000116251,-1.0607015019891806
ENSG00000158286,-2.7197437565293772
ENSG00000116237,-1.5005284967094801
ENSG00000158292,1.4702327959528587
ENSG00000097021,-1.3552965926359595
ENSG00000271746,0.73013257189852609
ENSG00000069812,-0.086365234583263714
ENSG00000187017,-0.053408383289879326
ENSG00000215788,2.7443662945941072
ENSG00000171680,-0.14508241508119549
ENSG00000162408,-0.70579809731046483
ENSG00000204859,-0.56307586620471073
ENSG00000162413,-0.089332694769054019
ENSG00000116273,-0.59007389236538421
ENSG00000041988,-0.44887754517247214
ENSG00000007923,-0.89353709247843849
ENSG00000228750,0.70140612076095965
ENSG00000237436,-0.6466379187328174
ENSG00000171735,-0.02212826799949634
ENSG00000269978,-0.27425373134328379
ENSG00000049245,-0.45858617427109638
ENSG00000049246,-1.3011949983610511
ENSG00000236266,0.31376532904672277
ENSG00000049247,1.2190739990788142
ENSG00000049249,-0.50086654159101518
ENSG00000116288,-0.97552898300072266
ENSG00000116285,-0.27759782827959556
ENSG00000162426,-0.86240028636265853
ENSG00000142599,-0.20443166596414014
ENSG00000232912,-0.47630652475312857
ENSG00000074800,-0.67104084778764861
ENSG00000230679,0.40765208798655189
ENSG00000131686,0.24896928197993112
ENSG00000142583,0.45877285276402713
ENSG00000180758,-0.94136240937583782
ENSG00000228526,-3.9707747449682937
ENSG00000234546,0.28508409153570496
ENSG00000049239,1.3922626999579817
ENSG00000171621,1.4560618088069253
ENSG00000171612,-1.4429635909395446
