PC,Proportion.Variance.Explained
1,0.010535648871612388
2,0.0046676926148459886
3,0.0034386829731934349
4,0.0029103518982087047
5,0.0022533066721905099
6,0.0017153116496248645
7,0.0014616706488699083
8,0.0011932661282461725
9,0.001129604995236902
10,0.0010793581061622757
